project_name,artist,year,rating,tags
beyond the fleeting gales,crying,2016,8,"indie rock, power pop, electronic, rock, 2016"
malibu,anderson .paak,2016,7,"2016, soul, rnb, hip hop, funk"
imperial,denzel curry,2016,8,"cloud rap, trap, 2016, rap, Hip-Hop"
starboy,the weeknd,2016,5,"2016, rnb, electropop, pop, The Weeknd"
dystopia,megadeth,2016,4,"thrash metal, 2016, heavy metal, metal, albums I own"
junk,m83,2016,3,"synthpop, 80s revival, kitsch, 2016, poptron"
skin,flume,2016,5,"electronic, 2016, future bass, wonky, pop"
99 cents,santigold,2016,7,"2016, art pop, indie, newwave, artpop"
is the is are,diiv,2016,6,"shoegaze, dream pop, post-punk, indie rock, Post punk"
run the jewels 3,run the jewels,2016,2,"2016, Hip-Hop, rap, political hip-hop, alternative hip-hop"
the sun's tirade,isaiah rashad,2016,6,"2016, Hip-Hop, rap, cloud rap, jazz rap"
floss,injury reserve,2016,8,"2016, spazz rap, hip hop, trap, jazz rap"
we got it from here... thank you 4 your service,a tribe called quest,2016,9,"2016, jazz rap, hip hop, rap, epic"
major key,dj khaled,2016,6,"Hip-Hop, hip hop, rap, 3, 2010s"
coloring book,chance the rapper,2016,7,"2016, hip hop, rap, Hip-Hop, gospel"
bonito generation,kero kero bonito,2016,8,"electropop, 2016, synthpop, bubblegum bass, bitpop"
lil big pac,kodak black,2016,3,"kodak black, mumble rap"
how to be a human being,glass animals,2016,6,"2016, art pop, pop, indie pop, indiepop"
everybody looking,gucci mane,2016,6,"trap, Hip-Hop, rap, hiphop, atlanta"
freetown sound,blood orange,2016,6,"2016, 2010s, rnb, alternative rnb, best of 2016"
self-titled,preoccupations,2016,8,"2016, Crank wave, post-punk, rock, punk"
a seat at the table,solange,2016,8,"2016, rnb, alternative rnb, Neo-Soul, soul"
the divine feminine,mac miller,2016,4,"2016, 2010s, mac miller, Hip-Hop, hip hop"
hopelessness,anohni,2016,6,"2016, electronic, experimental, dance, art pop"
sremmlife 2,rae sremmurd,2016,6,"hip hop, rap, urban, trap, 2016"
warlord,yung lean,2016,3,"trap, cloud rap, emo rap, Hip-Hop, rap"
iv,badbadnotgood,2016,7,"2016, jazz, jazz fusion, instrumental, 3"
painting with,animal collective,2016,5,"2016, electronic, psychedelic pop, Neo-Psychedelia, pop"
genesis,domo genesis,2016,4,"2016, cloud rap, jazz rap, contemporary rnb, Hip-Hop"
not to disappear,daughter,2016,3,"2016, indie folk, indie, dream pop, rock"
end position,street sects,2016,8,"noise rock, electro-industrial, synth punk, noise, industrial"
sirens,nicolas jaar,2016,6,"2016, electronic, experimental, ambient pop, ambient"
fires within fires,neurosis,2016,8,"2016, doom metal, Post-Metal, metal, Progressive metal"
prima donna,vince staples,2016,7,"2016, Hip-Hop, rap, Gangsta Rap, conscious hip-hop"
wriggle,clipping.,2021,7,"glitch hop, 2016, experimental hip-hop, noise, Hip-Hop"
amnesty (i),crystal castles,2016,4,"2016, electronic, witch house, synthpop, noise"
"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,2016,4,"2016, pop, indie rock, indie, alternative"
emotion: side b,carly rae jepsen,2016,8,pop
human performance,parquet courts,2016,7,"2016, indie rock, Crank wave, post-punk, art punk"
the serenity of suffering,korn,2016,4,"Nu Metal, 2016, alternative metal, heavy metal, metal"
the colour in anything,james blake,2016,5,"2016, experimental, electronic, best of 2016, downtempo"
99.90%,kaytranada,2016,6,"2016, electronic, hip hop, numbers, Hip-Hop"
iv,black mountain,2016,7,"2016, bestof2016"
telefone,noname,2016,8,"2016, rap, jazz rap, Hip-Hop, hip hop"
i aka i,ash koosha,2016,6,"2016, tronicram"
stage four,touché amoré,2016,8,"post-hardcore, screamo, hardcore, melodic hardcore, 2016"
slime season 3,young thug,2016,5,"trap, rap, Young Thug, hip hop, hiphop"
the human condition,jon bellion,2016,5,"Hip-Hop, indie, electronic, jazz, hip hop"
rheia,oathbreaker,2016,4,"blackgaze, black metal, Post-Black Metal, 2016, blackened hardcore"
big baby d.r.a.m.,d.r.a.m.,2016,7,"Hip-Hop, dram"
mind of mine,zayn,2016,4,"pop, 2016, rnb, zayn, albums I own"
made in the manor,kano,2016,7,vinyl
worry,jeff rosenstock,2016,8,"indie rock, ska, punk rock, pop punk, hardcore punk"
holy ghost,modern baseball,2016,7,"indie, rock, punk, alternative, alternative rock"
self-titled,nevermen,2016,7,2016
nattesferd,kvelertak,2016,6,"black metal, 2016, hardcore, hardcore punk, Black n Roll"
i'm up,young thug,2016,5,"hip hop, trap, 2016, Young Thug, alternative trap"
handshakes with snakes,apathy,2016,7,underground hip hop
lil uzi vert vs. the world,lil uzi vert,2016,4,"trap, 2016, emo rap, pop rap, cloud rap"
the bible 2,ajj,2016,5,"indie rock, acoustic, punk rock, folk punk, owned"
dissociation,the dillinger escape plan,2016,7,"mathcore, experimental, 2016, Progressive metal, Avant-Garde"
iiidrops,joey purp,2017,7,"rap, hip hop, conscious hip-hop, hardcore hip-hop, 2016"
the getaway,red hot chili peppers,2016,5,"alternative rock, rock, Funk Rock, 2016, pop rock"
the perfect luv tape,lil uzi vert,2016,3,"2016, trap, cloud rap, Lil Uzi Vert, Hip-Hop"
sleep cycle,deakin,2016,7,"2016, Neo-Psychedelia, ambient pop, psychedelic pop, psychedelic"
ruminations,conor oberst,2016,8,"2016, singer-songwriter, Nonesuch Records"
the bride,bat for lashes,2016,5,"2016, art pop, indie, alternative, folk"
värähtelijä,oranssi pazuzu,2016,7,"black metal, 2016, psychedelic black metal, experimental, Psychedelic Rock"
all your happy life,the wytches,2016,6,"Garage Rock, Psychedelic Rock, 2016"
woman,justice,2016,5,"electro, Disco, electronic, french, funk"
"22, a million",bon iver,2016,5,"2016, experimental, folktronica, electronic, art pop"
useless,bones,2016,7,"hip hop, sesh, more screaming"
the long dark blue,swain,2017,8,"Grunge, alternative, hardcore, 2016"
tempo,olga bell,2016,7,"2016, glitch pop, art pop, electronic, electropop"
jumalten aika,moonsorrow,2016,8,"pagan metal, black metal, 2016, folk metal, viking metal"
do what thou wilt.,ab-soul,2016,7,"Ab-Soul, abstract hip-hop, 2016, experimental hip-hop, political hip-hop"
jessica rabbit,sleigh bells,2016,7,"2016, 2010s, new york, indie rock, noise pop"
the dream is over,pup,2016,6,"post-hardcore, punk, pop punk, rock, indie rock"
a sailor's guide to earth,sturgill simpson,2016,8,"outlaw country, 2016, country soul, Alt-country, country"
self-titled,majid jordan,2016,4,"2016, Majid Jordan, muzorgasm with anton gossip 2k16"
the altar,banks,2016,5,"alternative rnb, 2016, rnb, electronic, pop"
metal resistance,babymetal,2016,6,"metal, kawaii metal, j-pop, japanese, 2016"
moth,chairlift,2016,7,"2016, electropop, indie pop, moth, synthpop"
negus,kemba,2016,7,"rap, hiphop"
the wilderness,explosions in the sky,2016,4,"post-rock, 2016, instrumental, ambient, experimental"
innocence reaches,of montreal,2016,5,"electronic, indie, indie pop, indie rock, psychedelic"
the hope six demolition project,pj harvey,2016,7,"2016, alternative rock, rock, alternative, folk rock"
pleiades' dust,gorguts,2016,8,"Progressive metal, 2016, death metal, Technical Death Metal, experimental"
before a million universes,big ups,2016,8,"post-hardcore, punk, 2016, real post-hardcore"
telling it like it is,marching church,2016,7,"post-punk, 2010s, 2016"
the terrible tales of scurvy jones,mr. yote,2016,7,2016
strangers,marissa nadler,2016,8,"2016, folk, love at first listen, japanese, female vocalists"
hyperion,krallice,2016,7,"black metal, atmospheric black metal, progressive black metal, 2016, Avant-Garde Black Metal"
black terry cat,xenia rubinos,2016,8,"2016, 2021, best of 2016"
the ghosts of highway 20,lucinda williams,2016,6,"2016, country, Alt-country, best albums of the 2010s"
there's alot going on,vic mensa,2016,5,favorite albums
love streams,tim hecker,2016,5,"2016, ambient, electronic, experimental, glitch"
black america again,common,2016,5,"Hip-Hop, 2016, best albums of the 2010's"
self-titled,jesu / sun kil moon,2016,6,"singer-songwriter, shoegaze, drone metal"
the magic,deerhoof,2016,7,"2016, noise rock, best of 2016, 2016 releases"
bottomless pit,death grips,2016,9,"experimental hip hop, industrial hip hop, 2016, abstract hip hop, noise rock"
damn.,kendrick lamar,2017,7,"2017, rap, Hip-Hop, hip hop, trap"
revival,eminem,2017,2,"2017, rap, Eminem, hip hop, Hip-Hop"
flower boy,"tyler, the creator",2017,8,"2017, Neo-Soul, alternative rnb, west coast hip hop, rap"
4:44,jay-z,2017,8,"2017, hip hop, Hip-Hop, jay z, rap"
melodrama,lorde,2017,7,"2017, pop, electropop, alternative, synthpop"
syre,jaden smith,2017,4,"2017, Hip-Hop, hip hop, rap, rnb"
self-titled,lil pump,2017,7,"trap, 2017, Hip-Hop, rap, pop rap"
reputation,taylor swift,2017,4,"2017, pop, electropop, synthpop, worst Taylor Swift album"
culture,migos,2018,7,"trap, 2017, Hip-Hop, rap, takeoff"
a crow looked at me,mount eerie,2017,9,"2017, singer-songwriter, indie folk, folk, contemporary folk"
17,xxxtentacion,2017,2,"2017, emo, Hip-Hop, rap, emo rap"
gemini,macklemore,2017,3,"2017, pop, rap, pop rap, oooh"
divide,ed sheeran,2017,4,"Ed Sheeran, vargs secret playlist"
saturation,brockhampton,2017,9,"2017, hip hop, pop rap, Hip-Hop, rap"
process,sampha,2017,8,"2017, electronic, alternative rnb, pop, soul"
everybody,logic,2017,5,"logic, 2017, Hip-Hop, rap, 2010s"
the autobiography,vic mensa,2017,6,midwest hip-hop
relatives in descent,protomartyr,2017,8,"Crank wave, post-punk, spoken word, 2017, art punk"
wrong one to fuck with,dying fetus,2017,8,"2017, death metal, Brutal Death Metal, Technical Death Metal, metal"
mouth moods,neil cicierega,2018,9,"mashup, plunderphonics, remix, 2017, meme"
packs,your old droog,2017,7,"Hip-Hop, 2017"
world eater,blanck mass,2017,7,"2017, experimental, electronic, ambient, noise"
science fiction,brand new,2017,7,"2017, emo, indie rock, post-hardcore, alternative"
greatest hits,remo drive,2017,7,"emo, punk, post-hardcore, indie, alternative"
this old dog,mac demarco,2017,7,"2017, indie, Lo-Fi, indie rock, soft rock"
heaven upside down,marilyn manson,2017,5,"2017, industrial rock, industrial metal, love at first listen, best of 2017"
goths,the mountain goats,2017,8,"2017, 2010s, indie, indie rock, singer-songwriter"
is this the life we really want?,roger waters,2017,7,"2017, Progressive rock, Symphonic Rock, art rock, 2010s"
thin black duke,oxbow,2017,8,"2017, art rock, noise rock, Experimental Rock, experimental"
utopia,björk,2017,7,"art pop, 2017, experimental, electronic, ambient"
a shadow in time,william basinski,2017,7,"ambient, electronic, experimental, minimal, drone"
hug of thunder,broken social scene,2017,7,"2017, indie rock, indie, baroque pop, role certo"
issa album,21 savage,2017,3,"trap, 2017, hip hop, 21 savage, Hip-Hop"
nightmare logic,power trip,2017,7,"2017, thrash metal, crossover thrash, crossover, hardcore"
self-titled,dirty projectors,2017,7,"2017, art pop, alternative rnb, experimental, indie pop"
self-titled,arca,2021,5,"2017, electronic, ambient, glitch, Post-Industrial"
take me apart,kelela,2017,8,"uk bass, alternative rnb, 2017, wonky, art pop"
who built the moon?,noel gallagher's high flying birds,2017,6,"alternative rock, rock, 2017, indie, alternative"
add violence,nine inch nails,2017,6,"2017, industrial, industrial rock, best of 2017, noise"
american dream,lcd soundsystem,2017,6,"2017, new wave, dance-punk, post-punk, synthpop"
brutalism,idles,2017,8,"Crank wave, post-punk, post-brexit new wave, Post-brexitcore, 2017"
ken,destroyer,2017,5,"2017, indie, indie rock, new wave, 2010s"
compassion,forest swords,2017,8,"2017, ambient, experimental, ninja tune, fip"
rather you than me,rick ross,2017,6,"2017, Hip-Hop, rap, rick ross"
mourn,corbin,2017,7,"rnb, goth, emo, singer-songwriter, post-punk"
trumpeting ecstasy,full of hell,2017,6,"2017, grindcore, powerviolence, death metal, 2010s"
freudian,daniel caesar,2017,7,"2017, Neo-Soul, alternative rnb, pop, sexy"
okovi,zola jesus,2017,6,"2017, electronic, art pop, best of 2017, noise"
wonderful wonderful,the killers,2017,6,"2017, alternative rock, rock, indie rock, new wave"
colors,beck,2017,4,"2017, alternative, indie pop, alternative rock, pop"
rainbow,kesha,2017,7,"2017, pop, pop rock, country pop, comeback"
you will regret,ski mask the slump god,2018,6,"trap, ski mask the slump god"
who told you to think??!!?!?!?!,milo,2017,7,"2017, abstract hip-hop"
forever,code orange,2017,8,"2017, metalcore, hardcore, hardcore punk, metallic hardcore"
turn out the lights,julien baker,2017,7,"2017, slowcore, indie folk, dream pop, 2010s"
ctrl,sza,2017,7,"2017, rnb, alternative rnb, Neo-Soul, 2010s"
cozy tapes vol. 2: too cozy,a$ap mob,2017,4,"trap, ASAP Rocky, ASAP Mob, asap ferg"
sleep well beast,the national,2017,7,"2017, best of 2017, indie rock, albums I own, 2010s"
black ken,lil b,2017,5,"hyphy, electro, experimental hip hop, pop rap, boom bap"
as you were,liam gallagher,2017,6,"britpop, 2017, indie rock"
project baby 2,kodak black,2017,5,"kodak black, mumble rap"
relaxer,alt-j,2017,5,"2017, 2010s, indie rock, albums, indietronica"
hiss spun,chelsea wolfe,2017,7,"2017, Gothic Rock, boring, FLOP, worst of 2017"
luv is rage 2,lil uzi vert,2017,3,"2017, trap, rap, pop rap, 2010s"
semper femina,laura marling,2017,5,"2017, folk, singer-songwriter, indie folk, 10s"
painted ruins,grizzly bear,2017,6,"2017, psychedelic folk, Neo-Psychedelia, indie rock, chamber pop"
bravado,kirin j callinan,2017,8,"art pop, eurodance, dance-pop, synth pop, post-punk"
masseduction,st. vincent,2017,6,"2017, art pop, synthpop, pop, rock"
concrete and gold,foo fighters,2017,6,"2017, alternative rock, hard rock, Progressive rock, rock"
something to tell you,haim,2017,5,"2017, indie pop, pop, soft rock, indie"
all-amerikkkan bada$$,joey bada$$,2017,8,"2017, political, Hip-Hop, rap, east coast hip-hop"
gt ultra,guerilla toss,2017,8,"2017, 3, dance-punk, art pop, psych pop"
poppy.computer,poppy,2017,6,"pc music, 2017, pop, american, j-pop"
english tapas,sleaford mods,2017,6,"Crank wave, rap punk, post-punk, spoken word, post-brexit new wave"
still striving,a$ap ferg,2017,6,"trap, asap ferg, rap, Gangsta Rap, asap"
antisocialites,alvvays,2017,8,"2017, indie pop, jangle pop, indie rock, dream pop"
not the actual events,nine inch nails,2016,8,"industrial, industrial rock, 2016, rock, alternative"
the dusk in us,converge,2017,8,"2017, metalcore, post-hardcore, mathcore, hardcore punk"
known unknowns,billy woods,2017,8,"albums I own, abstract hip hop, 2017"
everything now,arcade fire,2017,4,"2017, Disco, alternative dance, rock, 10s"
the far field,future islands,2017,6,"2017, 4ad, 10s"
life will see you now,jens lekman,2017,6,"2017, meh"
self-titled,harry styles,2017,4,"2017, rock, best of 2017, alternative, pop rock"
lust for life,lana del rey,2017,6,"2017, dream pop, alternative, pop, albums I own"
drive it like it's stolen,injury reserve,2017,7,"2017, rap, dbdbdbdbdbdbdbdbdbdbdb"
material control,glassjaw,2017,6,"post-hardcore, hardcore, alternative metal, 2017, emo"
drunk,thundercat,2017,6,"2017, jazz fusion, Neo-Soul, albums I own, Psychedelic Soul"
brick body kids still daydream,open mike eagle,2017,8,"2017, jazz rap, abstract hip hop, Conscious Hip Hop, Hip-Hop"
1992 deluxe,princess nokia,2017,8,"2017, hip hop, rap, 2010s, Hip-Hop"
self-titled,future,2018,5,"2017, Dirty South, future, 2013, trap"
a deeper understanding,the war on drugs,2017,5,"2017, albums I own, indie rock, 2010s, heartland rock"
los ángeles,rosalía,2017,8,"2017, 2010s, contemporary flamenco, folk, favorite albums"
teenage emotions,lil yachty,2017,2,"trap, lil yachty, Hip-Hop, emo, repetitive"
rome,armand hammer,2017,6,"albums I own, 2017"
plunge,fever ray,2017,5,"2017, electronic, experimental, best of 2017, electropop"
narkopop,gas,2017,2,"2017, ambient, minimal techno, drone, Ambient Techno"
good for you,aminé,2017,5,"2017, Hip-Hop, rap, alternative hip-hop, pop rap"
"howling, for the nightmare shall consume",integrity,2017,7,"thrash metal, 2017"
tfcf,liars,2017,5,"bad album covers, 2017, bad album cover, ugly album covers, worst album cover of all time"
self-titled,bicep,2017,7,"2017, Disco, techno, House, lp"
painting pictures,kodak black,2017,4,"trap, 2017, kodak black, Hip-Hop, urban"
i decided,big sean,2017,6,"Hip-Hop, rap"
beautiful thugger girls,young thug,2017,5,"2017, Young Thug, Hip-Hop, hip hop, country"
stranger,yung lean,2017,6,"2017, cloud rap, sad, ambient pop, trap"
self-titled,bicep,2017,7,"2017, Disco, techno, House, lp"
tfcf,liars,2017,5,"bad album covers, 2017, bad album cover, ugly album covers, worst album cover of all time"
everything now,arcade fire,2017,4,"2017, Disco, alternative dance, rock, 10s"
pure comedy,father john misty,2017,9,"2017, singer-songwriter, folk, albums I own, baroque pop"
i decided,big sean,2017,6,"Hip-Hop, rap"
the booty tape,ugly god,2017,5,"Hip-Hop, rap, happy, repetitive, urban"
after laughter,paramore,2017,7,"new wave, 2017, pop rock, synthpop, power pop"
self-titled,slowdive,2017,4,"2017, shoegaze, dream pop, best of 2017, rock"
laila's wisdom,rapsody,2017,8,"Neo-Soul, Conscious Hip Hop, 2017"
los ángeles,rosalía,2017,8,"2017, 2010s, contemporary flamenco, folk, favorite albums"
the underside of power,algiers,2017,8,"2017, 2010s, rock, revolution, indie rock"
drive it like it's stolen,injury reserve,2017,7,"2017, rap, dbdbdbdbdbdbdbdbdbdbdb"
mr. davis,gucci mane,2017,5,"2017, Hip-Hop, rap, trap, gucci mane"
forget,xiu xiu,2017,8,"2017, art pop, electronic, experimental, Post-Industrial"
a fever dream,everything everything,2017,6,"2017, alternative rock, indie pop, indie rock, indietronica"
plunge,fever ray,2017,5,"2017, electronic, experimental, best of 2017, electropop"
savage sinusoid,igorrr,2017,7,"breakcore, 2017, metal, baroque, experimental"
self-titled,alice glass,2017,7,"2017, witch house, electronic, experimental, synthpop"
i see you,the xx,2017,6,"2017, dream pop, electronic, alternative, indie pop"
number 1 angel,charli xcx,2017,7,"2017, Trash, bomba, pc music, pop"
blue chips 7000,action bronson,2017,6,"Hip-Hop, rap"
crossover ministry,iron reagan,2017,6,"crossover thrash, crossover, punk, hardcore, thrash metal"
luciferian towers,godspeed you! black emperor,2017,5,"post-rock, 2017, drone, post rock, rock"
deadstar,smokepurpp,2017,6,"trap, Hip-Hop, rap, 2017, hardcore"
rocket,(sandy) alex g,2017,5,"2017, best of 2017, indie, folk, experimental"
big fish theory,vince staples,2017,6,"2017, rap, experimental hip hop, hardcore hip hop, west coast hip hop"
oczy mlody,the flaming lips,2017,5,"2017, alternative, psychedelic pop, psychedelic, Progressive Pop"
4eva is a mighty long time,big k.r.i.t.,2017,9,"2017, Hip-Hop, hip hop, rap, Dirty South"
hot thoughts,spoon,2017,7,"2017, indie rock, alternative dance, dance punk, music i tried but didnt like"
conformicide,havok,2017,7,"thrash metal, thrash, bullshit, Masterpiece, epic fail"
saturation iii,brockhampton,2017,8,"2017, hip hop, rap, boyband, alternative hip hop"
uyai,ibibio sound machine,2017,8,"2017, Disco, electro, synthpop, afrobeat"
baile bucanero,ondatrópica,2017,7,"reggae, dancehall, latin funk"
humaniac,lou the human,2017,7,2017
peasant,richard dawson,2017,8,"2017, freak folk, avant-folk, folk, singer-songwriter"
humaniac,lou the human,2017,7,2017
caustic,primitive man,2017,8,"noise, doom metal, 2017, metal, Sludge"
the thrill of it all,sam smith,2017,4,"2017, soul, british, pop rock"
"sincerely, future pollution",timber timbre,2017,5,2017
drogas light,lupe fiasco,2017,6,"2017, Hip-Hop, trap"
stillness in wonderland,little simz,2017,5,"Hip-Hop, electronic, soul, rap, alternative hip-hop"
"being you is great, i wish i could be you more often",quelle chris,2017,8,"albums I own, calm, Lo-Fi, experimental hip hop, abstract"
emperor of sand,mastodon,2017,4,"2017, Progressive metal, sludge metal, metal, Sludge"
villains,queens of the stone age,2017,6,"2017, Stoner Rock, alternative rock, rock, albums I own"
50 song memoir,the magnetic fields,2017,7,"2017, indie pop, indie electronic, romantic, Dreamy"
pharma,nmesh,2017,7,"vaporwave, plunderphonics, 2017, ambient, psychedelic"
in mind,real estate,2017,5,"indie rock, 2017, indie pop, jangle pop, soft rock"
dedicated to bobby jameson,ariel pink,2017,8,"2017, hypnagogic pop, best of 2017, rock, indie"
no dope on sundays,cyhi the prynce,2017,5,CyHi The Prynce
pleasure,feist,2017,8,"2017, indie rock, folk rock, 2010s, 2017 releases"
mareridt,myrkur,2017,6,"2017, dark folk, Post-Black Metal, best of 2017, pseudo black metal"
neō wax bloom,iglooghost,2017,8,"2017, drill and bass, glitch hop, uk bass, wonky"
rainbow mirror,prurient,2017,6,"noise, drone, dark ambient, power electronics, Doom Electronics"
thrice woven,wolves in the throne room,2017,6,"black metal, 2017, atmospheric black metal, metal, olympia"
self-titled,dead cross,2017,7,"2017, punk rock, rocked reviews"
ash,ibeyi,2017,7,"2017, 2010s"
rap album two,jonwayne,2017,7,"underground hip-hop, 2010s, albums, 2017 Albums"
why love now,pissed jeans,2017,7,"2017, noise rock, 2017 releases"
a love letter to you 2,trippie redd,2017,5,"trap, cloud rap, alternative rnb, trap rap, soundcloud rap"
pacific daydream,weezer,2017,4,"2017, alternative rock, power pop, pop rock, electropop"
forced witness,alex cameron,2017,8,"2017, new wave, synth pop, synthpop, 4"
somersault,beach fossils,2017,5,"2017, indie, indie rock, indie pop, post-punk"
raskit,dizzee rascal,2017,6,"Grime, 2017"
written at night,uncommon nasa,2017,8,"abstract hip hop, east coast hip hop, Conscious Hip Hop, 2017"
hang,foxygen,2017,2,"2017, baroque pop, Progressive Pop, indie pop, indie rock"
first opus,sinjin hawke,2017,8,"uk bass, footwork, future bass, electronic, wonky"
memories are now,jesca hoop,2017,7,"2017, singer-songwriter, indie folk, 2010s, best albums of the 2010's"
all this i do for glory,colin stetson,2017,7,"Avant-Garde Jazz, post-minimalism, 2017, -key"
i tell a fly,benjamin clementine,2017,5,"2017, Progressive rock, Experimental pop, Avant-Garde, contemporary classical"
self-titled,ty segall,2017,6,"albums I own, Garage Punk, Lo-Fi, garage rock revival, psychedelic"
you only live 2wice,freddie gibbs,2017,6,"2017, Freddie Gibbs"
vicious,skepta,2017,5,"hip hop, British Hip Hop, english hip hop"
self-titled,kids see ghosts,2018,1,"2018, Hip-Hop, rap, experimental hip hop, pop rap"
some rap songs,earl sweatshirt,2018,8,"2018, jazz rap, experimental, experimental hip hop, abstract hip-hop"
?,xxxtentacion,2017,4,"Hip-Hop, emo, rap, 2018, emo rap"
the life of pablo,kanye west,2016,8,"2016, rap, Hip-Hop, hip hop, pop rap"
astroworld,travis scott,2018,7,"2018, trap, pop rap, Southern Hip Hop, Hip-Hop"
ye,kanye west,2013,8,"2018, Hip-Hop, rap, pop rap, hip hop"
daytona,pusha t,2018,8,"2018, rap, Hip-Hop, hip hop, hardcore hip hop"
veteran,jpegmafia,2018,8,"2018, glitch hop, experimental hip hop, experimental hip-hop, industrial hip hop"
kamikaze,eminem,2018,4,"rap, hip hop, 2018, Hip-Hop, Eminem"
ta13oo,denzel curry,2018,8,"2018, trap, Trap Metal, rap, Hip-Hop"
scorpion,drake,2018,4,"2018, rap, Hip-Hop, rnb, trap"
trench,twenty one pilots,2018,8,"2018, indie pop, indietronica, pop rap, alternative"
ephorize,cupcakke,2018,7,"2018, rap, Hip-Hop, trap rap, hip hop"
oil of every pearl's un-insides,sophie,2018,8,"bubblegum bass, 2018, electronic, experimental, Deconstructed Club"
swimming,mac miller,2018,3,"2018, hip hop, rap, pop rap, 2010s"
twin fantasy (face to face),car seat headrest,2011,10,"indie rock, singer-songwriter, alternative, alternative rock, power pop"
eat the elephant,a perfect circle,2018,5,"2018, alternative rock, alternative metal, Progressive rock, ambient"
you won't get what you want,daughters,2018,1,"noise rock, industrial rock, 2018, no wave, experimental"
idol,horrendous,2018,9,"death metal, 2018, progressive death metal, Progressive metal, Melodic Death Metal"
tha carter v,lil wayne,2018,6,Lil Wayne
"come over when you're sober, pt. 2",lil peep,2018,4,"emo, Hip-Hop, emo rap, rap, cloud rap"
new levels new devils,polyphia,2018,8,"math rock, Progressive metal, instrumental, Progressive rock, trap"
little dark age,mgmt,2018,8,"2018, synthpop, new wave, indie, psychedelic pop"
simulation theory,muse,2018,5,"2018, rock, alternative rock, synthpop, electropop"
culture ii,migos,2018,4,"2018, Hip-Hop, trap, pop rap, rap"
die lit,playboi carti,2018,7,"cloud rap, trap, 2018, Southern Hip Hop, Hip-Hop"
stokeley,ski mask the slump god,2018,6,"2018, Hip-Hop, rap, experimental hip hop, aggressive"
singularity,jon hopkins,2018,7,"2018, techno, electronic, idm, ambient"
bottle it in,kurt vile,2018,6,"2018, best of 2018, folk, singer-songwriter, psychedelic"
god's favorite customer,father john misty,2018,7,"2018, folk rock, singer-songwriter, chamber pop, piano rock"
prhyme 2,prhyme,2018,6,"2018, Hip-Hop, rap, 2010s, 8"
a brief inquiry into online relationships,the 1975,2018,6,"2018, pop rock, pop, rock, synthpop"
queen,nicki minaj,2022,5,"2018, rap, Hip-Hop, queen of rap, hip hop"
joy as an act of resistance.,idles,2018,9,"Crank wave, post-punk, post-brexit new wave, Post-brexitcore, 2018"
prequelle,ghost,2018,8,"2018, hard rock, heavy metal, Progressive rock, rock"
freedom's goblin,ty segall,2018,7,"2018, Garage Rock, rock, psychedelic, psych"
be the cowboy,mitski,2018,6,"2018, indie rock, indie pop, art pop, new wave"
lil boat 2,lil yachty,2018,7,"2018, trap, lil yachty, Hip-Hop, hip hop"
whack world,tierra whack,2018,7,"2018, Hip-Hop, 2010s, experimental, minimalist"
be the cowboy,mitski,2018,6,"2018, indie rock, indie pop, art pop, new wave"
four pieces for mirai,james ferraro,2018,7,"2018, Progressive Electronic, electronic, ambient, new age"
testing,a$ap rocky,2018,4,"2018, rap, trap, cloud rap, Hip-Hop"
american utopia,david byrne,2019,7,"2018, new wave, art pop, best of 2018"
all at once,screaming females,2018,8,"2018, 2010s, registret, best of 2018, 2018 releases"
not all heroes wear capes,metro boomin,2018,6,"2018, Hip-Hop, rap, pop rap, 9"
nuthin' 2 prove,lil yachty,2018,2,"lil yachty, 2018, 2010s rap"
i want to die in new orleans,$uicideboy$,2018,6,"Hip-Hop, rap, Horrorcore, 2018, emo"
ballads 1,joji,2018,5,"2018, rnb, pop, Lo-Fi, chill"
dummy boy,6ix9ine,2018,4,"Hip-Hop, 2018, rap, bad album covers, trap"
bad witch,nine inch nails,2018,7,"2018, industrial, industrial rock, industrial metal, electronic"
i loved you at your darkest,behemoth,2018,7,"2018, black metal, Blackened Death Metal, death metal, metal"
skins,xxxtentacion,2018,2,"trap, 2018, XXXTENTACION, Hip-Hop, hip hop"
sr3mm,rae sremmurd,2018,7,"rap, trap, pop rap, contemporary rnb, 2018"
championships,meek mill,2018,5,"meek mill, 7, 2018, 2019"
time 'n' place,kero kero bonito,2018,8,"noise pop, 2018, synthpop, twee pop, indie pop"
year of the snitch,death grips,2018,9,"2018, experimental hip hop, electro-industrial, synth punk, industrial hip hop"
ruins,first aid kit,2018,7,"2018, 2010s, indie pop, americana, country folk"
and nothing hurt,spiritualized,2018,7,"2018, noise rock, soft rock, psychedelic, Neo-Psychedelia"
room 25,noname,2018,8,"2018, jazz rap, hip hop, rap, 10s"
endless,frank ocean,2019,10,"ambient pop, 2016, art pop, alternative rnb, electronic"
invasion of privacy,cardi b,2018,6,"rap, 2018, Hip-Hop, hip hop, trap"
bon voyage,melody's echo chamber,2018,7,"2018, indie, experimental, female vocalists, singer-songwriter"
golden hour,kacey musgraves,2018,4,"2018, country pop, country, singer-songwriter, pop"
aviary,julia holter,2018,8,"2018, art pop, experimental, ambient pop, modern classical"
your queen is a reptile,sons of kemet,2018,8,"2018, afro-jazz, dub, jazz-funk, afrobeat"
i'm all ears,let's eat grandma,2018,7,"2018, best of 2018, indie pop, art pop, electropop"
